Board Number|Board Name|School Number|School Name|School Level|School Type|School Language|Enrolment
B28010|Algoma DSB|902344|Algoma Education Connection SS|Secondary|Public|English|220
B28010|Algoma DSB|019186|Anna McCrea PS|Elementary|Public|English|195
B28010|Algoma DSB|067679|Arthur Henderson PS|Elementary|Public|English|45
B28010|Algoma DSB|043362|Ben R McMullin PS|Elementary|Public|English|165
B28010|Algoma DSB|054542|Blind River PS|Elementary|Public|English|150
B28010|Algoma DSB|490822|Boreal French Immersion PS|Elementary|Public|English|455
B28010|Algoma DSB|137967|Central Algoma Intermed S|Elementary|Public|English|180
B28010|Algoma DSB|285552|Central Algoma PS|Elementary|Public|English|120
B28010|Algoma DSB|891347|Central Algoma SS|Secondary|Public|English|330
B28010|Algoma DSB|093548|Central Avenue PS|Elementary|Public|English|275
B28010|Algoma DSB|900869|Chapleau HS|Secondary|Public|English|55
B28010|Algoma DSB|101214|Chapleau PS|Elementary|Public|English|105
B28010|Algoma DSB|161276|East View PS|Elementary|Public|English|295
B28010|Algoma DSB|165042|Echo Bay Central PS|Elementary|Public|English|210
B28010|Algoma DSB|908010|Elliot Lake SS|Secondary|Public|English|290
B28010|Algoma DSB|186783|Esten Park PS|Elementary|Public|English|140
B28010|Algoma DSB|202614|Francis H Clergue PS|Elementary|Public|English|525
B28010|Algoma DSB|227331|Grand View PS|Elementary|Public|English|290
B28010|Algoma DSB|230561|Greenwood PS|Elementary|Public|English|235
B28010|Algoma DSB|237191|H M Robbins PS|Elementary|Public|English|255
B28010|Algoma DSB|917370|Hornepayne HS|Secondary|Public|English|40
B28010|Algoma DSB|264750|Hornepayne PS|Elementary|Public|English|45
B28010|Algoma DSB|278270|Isabel Fletcher PS|Elementary|Public|English|175
B28010|Algoma DSB|302350|Kiwedin PS|Elementary|Public|English|170
B28010|Algoma DSB|920533|Korah C & VS|Secondary|Public|English|815
B28010|Algoma DSB|018309|Korah Intermed S|Elementary|Public|English|135
B28010|Algoma DSB|926086|Michipicoten HS|Secondary|Public|English|105
B28010|Algoma DSB|368490|Missarenda Consolidated PS|Elementary|Public|English|<10
B28010|Algoma DSB|195200|Mountain View PS|Elementary|Public|English|185
B28010|Algoma DSB|891150|North Shore Adolescent Education S|Secondary|Public|English|20
B28010|Algoma DSB|410870|Northern Heights PS|Elementary|Public|English|225
B28010|Algoma DSB|434922|Parkland PS|Elementary|Public|English|165
B28010|Algoma DSB|442054|Pinewood PS|Elementary|Public|English|225
B28010|Algoma DSB|462616|Queen Elizabeth PS|Elementary|Public|English|280
B28010|Algoma DSB|468339|R M Moore PS|Elementary|Public|English|255
B28010|Algoma DSB|485497|River View PS|Elementary|Public|English|185
B28010|Algoma DSB|677523|Rockhaven School forExceptional Children PS|Elementary|Public|English|15
B28010|Algoma DSB|515396|Sir James Dunn PS|Elementary|Public|English|105
B28010|Algoma DSB|530603|St Joseph Island Central PS|Elementary|Public|English|100
B28010|Algoma DSB|958050|Superior Heights C & VS|Secondary|Public|English|770
B28010|Algoma DSB|672610|Superior Heights Community Education|Elementary|Public|English|25
B28010|Algoma DSB|106913|Superior Heights Intermed S|Elementary|Public|English|90
B28010|Algoma DSB|548413|Tarentorus PS|Elementary|Public|English|285
B28010|Algoma DSB|551660|Thessalon PS|Elementary|Public|English|165
B28010|Algoma DSB|895270|W C Eaket SS|Secondary|Public|English|140
B28010|Algoma DSB|953148|White Pines C & VS|Secondary|Public|English|475
B28010|Algoma DSB|144872|White Pines Intermed S|Elementary|Public|English|70
B67202|Algonquin and Lakeshore CDSB|765031|Archbishop O'Sullivan Catholic S|Elementary|Catholic|English|240
B67202|Algonquin and Lakeshore CDSB|827681|Cathedrale Catholic S|Elementary|Catholic|English|390
B67202|Algonquin and Lakeshore CDSB|708011|Georges Vanier Catholic S|Elementary|Catholic|English|330
B67202|Algonquin and Lakeshore CDSB|715298|Holy Cross Catholic SS|Secondary|Catholic|English|1070
B67202|Algonquin and Lakeshore CDSB|717703|Holy Name Catholic S|Elementary|Catholic|English|130
B67202|Algonquin and Lakeshore CDSB|865257|Holy Name of Mary Catholic S|Elementary|Catholic|English|110
B67202|Algonquin and Lakeshore CDSB|719919|Holy Rosary Catholic S|Elementary|Catholic|English|215
B67202|Algonquin and Lakeshore CDSB|735523|J J O'Neill Catholic S|Elementary|Catholic|English|275
B67202|Algonquin and Lakeshore CDSB|724068|John XXIII Catholic S|Elementary|Catholic|English|245
B67202|Algonquin and Lakeshore CDSB|728420|Loyola Community Learning Centre|Secondary|Catholic|English|270
B67202|Algonquin and Lakeshore CDSB|773875|Mother Teresa Catholic S|Elementary|Catholic|English|395
B67202|Algonquin and Lakeshore CDSB|835099|Nicholson Catholic College|Secondary|Catholic|English|430
B67202|Algonquin and Lakeshore CDSB|742279|Our Lady of Fatima Catholic S|Elementary|Catholic|English|170
B67202|Algonquin and Lakeshore CDSB|746568|Our Lady of Lourdes Catholic S|Elementary|Catholic|English|265
B67202|Algonquin and Lakeshore CDSB|746690|Our Lady of Mercy Catholic S|Elementary|Catholic|English|180
B67202|Algonquin and Lakeshore CDSB|706264|Our Lady of Mount Carmel Catholic S|Elementary|Catholic|English|495
