Board Number|Board Name|School Number|School Name|School Level|School Type|School Language|Enrolment
B67202|Algonquin and Lakeshore CDSB|752932|Regiopolis/Notre-Dame Catholic HS|Secondary|Catholic|English|1010
B67202|Algonquin and Lakeshore CDSB|756830|Sacred Heart Catholic S|Elementary|Catholic|English|140
B67202|Algonquin and Lakeshore CDSB|764370|Sacred Heart Catholic S|Elementary|Catholic|English|140
B67202|Algonquin and Lakeshore CDSB|868370|Sacred Heart Catholic S|Elementary|Catholic|English|55
B67202|Algonquin and Lakeshore CDSB|781142|St Carthagh Catholic S|Elementary|Catholic|English|150
B67202|Algonquin and Lakeshore CDSB|756642|St Francis of Assisi Catholic School|Elementary|Catholic|English|275
B67202|Algonquin and Lakeshore CDSB|796220|St Gregory Catholic S|Elementary|Catholic|English|255
B67202|Algonquin and Lakeshore CDSB|799556|St James Major|Elementary|Catholic|English|50
B67202|Algonquin and Lakeshore CDSB|815330|St Joseph Catholic S|Elementary|Catholic|English|365
B67202|Algonquin and Lakeshore CDSB|830984|St Marguerite Bourgeoys Catholic S|Elementary|Catholic|English|445
B67202|Algonquin and Lakeshore CDSB|823570|St Martha Catholic S|Elementary|Catholic|English|350
B67202|Algonquin and Lakeshore CDSB|824330|St Martin of Tours Catholic S|Elementary|Catholic|English|15
B67202|Algonquin and Lakeshore CDSB|831840|St Mary Catholic S|Elementary|Catholic|English|410
B67202|Algonquin and Lakeshore CDSB|865125|St Mary Catholic S|Elementary|Catholic|English|105
B67202|Algonquin and Lakeshore CDSB|834688|St Michael Catholic S|Elementary|Catholic|English|620
B67202|Algonquin and Lakeshore CDSB|764248|St Patrick Catholic S|Elementary|Catholic|English|25
B67202|Algonquin and Lakeshore CDSB|841773|St Patrick Catholic S|Elementary|Catholic|English|240
B67202|Algonquin and Lakeshore CDSB|706744|St Paul Catholic E S|Elementary|Catholic|English|175
B67202|Algonquin and Lakeshore CDSB|842761|St Paul Catholic S|Elementary|Catholic|English|140
B67202|Algonquin and Lakeshore CDSB|841358|St Paul Catholic SS|Secondary|Catholic|English|310
B67202|Algonquin and Lakeshore CDSB|845493|St Peter Catholic S|Elementary|Catholic|English|305
B67202|Algonquin and Lakeshore CDSB|851752|St Theresa Catholic SS|Secondary|Catholic|English|705
B67202|Algonquin and Lakeshore CDSB|856150|St Thomas More Catholic S|Elementary|Catholic|English|250
B66010|Avon Maitland DSB|019313|Anne Hathaway PS|Elementary|Public|English|395
B66010|Avon Maitland DSB|893048|Avon Maitland District E-learning Centre|Secondary|Public|English|305
B66010|Avon Maitland DSB|028673|Avon PS|Elementary|Public|English|375
B66010|Avon Maitland DSB|039306|Bedford PS|Elementary|Public|English|465
B66010|Avon Maitland DSB|272319|Bluewater Coast E PS|Elementary|Public|English|135
B66010|Avon Maitland DSB|066699|Brookside PS|Elementary|Public|English|210
B66010|Avon Maitland DSB|899569|Central Huron SS|Secondary|Public|English|430
B66010|Avon Maitland DSB|093718|Central Perth E S|Elementary|Public|English|215
B66010|Avon Maitland DSB|112917|Clinton PS|Elementary|Public|English|300
B66010|Avon Maitland DSB|145912|Downie Central PS|Elementary|Public|English|210
B66010|Avon Maitland DSB|175170|Elma Township PS|Elementary|Public|English|335
B66010|Avon Maitland DSB|190527|Exeter E S|Elementary|Public|English|340
B66010|Avon Maitland DSB|953776|F E Madill SS|Secondary|Public|English|605
B66010|Avon Maitland DSB|181908|F. E. Madill Elementary|Elementary|Public|English|175
B66010|Avon Maitland DSB|450242|GDCI - Elementary|Elementary|Public|English|145
B66010|Avon Maitland DSB|913600|Goderich District CI|Secondary|Public|English|400
B66010|Avon Maitland DSB|478133|Goderich PS|Elementary|Public|English|530
B66010|Avon Maitland DSB|242527|Hamlet PS|Elementary|Public|English|190
B66010|Avon Maitland DSB|268003|Howick Central PS|Elementary|Public|English|340
B66010|Avon Maitland DSB|268640|Hullett Central PS|Elementary|Public|English|260
B66010|Avon Maitland DSB|273694|Huron Centennial PS|Elementary|Public|English|345
B66010|Avon Maitland DSB|923095|Listowel DSS|Secondary|Public|English|945
B66010|Avon Maitland DSB|163619|Listowel Eastdale PS|Elementary|Public|English|300
B66010|Avon Maitland DSB|285535|Little Falls PS|Elementary|Public|English|465
B66010|Avon Maitland DSB|517103|Maitland River E PS|Elementary|Public|English|455
B66010|Avon Maitland DSB|366021|Milverton PS|Elementary|Public|English|285
B66010|Avon Maitland DSB|927120|Mitchell DHS|Secondary|Public|English|325
B66010|Avon Maitland DSB|135064|Mitchell District E PS|Elementary|Public|English|150
B66010|Avon Maitland DSB|372781|Mornington Central PS|Elementary|Public|English|165
B66010|Avon Maitland DSB|406040|North Easthope PS|Elementary|Public|English|165
B66010|Avon Maitland DSB|459441|North Perth Westfield E S|Elementary|Public|English|615
B66010|Avon Maitland DSB|578519|North Woods E S|Elementary|Public|English|155
B66010|Avon Maitland DSB|490040|Romeo PS|Elementary|Public|English|135
B66010|Avon Maitland DSB|504475|Seaforth PS|Elementary|Public|English|300
B66010|Avon Maitland DSB|507725|Shakespeare PS|Elementary|Public|English|175
B66010|Avon Maitland DSB|943118|South Huron DHS|Secondary|Public|English|430
B66010|Avon Maitland DSB|469900|South Huron E PS|Elementary|Public|English|175
B66010|Avon Maitland DSB|523267|South Perth Centennial PS|Elementary|Public|English|155
B66010|Avon Maitland DSB|528650|Sprucedale PS|Elementary|Public|English|190
B66010|Avon Maitland DSB|944807|St Marys D.C. & V. I. HS|Secondary|Public|English|455
B66010|Avon Maitland DSB|100438|St Marys D.C. & V.I. - Elementary E PS|Elementary|Public|English|135
B66010|Avon Maitland DSB|535508|Stephen Central PS|Elementary|Public|English|180
B66010|Avon Maitland DSB|531073|Stratford Central PS|Elementary|Public|English|290
B66010|Avon Maitland DSB|945587|Stratford Central SS|Secondary|Public|English|805
B66010|Avon Maitland DSB|531090|Stratford Northwestern PS|Elementary|Public|English|170
B66010|Avon Maitland DSB|945714|Stratford Northwestern SS|Secondary|Public|English|815
B66010|Avon Maitland DSB|566667|Upper Thames E S|Elementary|Public|English|575
B66001|Bluewater DSB|010472|Alexandra Community S|Elementary|Public|English|225
B66001|Bluewater DSB|011606|Amabel-Sauble Community S|Elementary|Public|English|155
B66001|Bluewater DSB|022322|Arran Tara E S|Elementary|Public|English|375
B66001|Bluewater DSB|552585|Beaver Valley Community S|Elementary|Public|English|505
B66001|Bluewater DSB|340804|Beavercrest Community S|Elementary|Public|English|210
B66001|Bluewater DSB|067709|Bruce Peninsula District S|Elementary|Public|English|205
B66001|Bluewater DSB|896969|Bruce Peninsula District S|Secondary|Public|English|65
B66001|Bluewater DSB|169200|Chesley District Community S|Elementary|Public|English|335
B66001|Bluewater DSB|135143|Dawnview PS|Elementary|Public|English|230
B66001|Bluewater DSB|458554|Dundalk & Proton Community S|Elementary|Public|English|230
B66001|Bluewater DSB|331307|East Ridge Community School|Elementary|Public|English|825
B66001|Bluewater DSB|167649|Egremont Community S|Elementary|Public|English|200
B66001|Bluewater DSB|293776|Elgin Market PS|Elementary|Public|English|265
B66001|Bluewater DSB|524239|G C Huston PS|Elementary|Public|English|325
B66001|Bluewater DSB|180789|Georgian Bay Community School|Elementary|Public|English|305
B66001|Bluewater DSB|925438|Georgian Bay Community School SS|Secondary|Public|English|335
B66001|Bluewater DSB|914444|Grey Highlands SS|Secondary|Public|English|625
B66001|Bluewater DSB|281131|Hanover Heights Community S|Elementary|Public|English|360
B66001|Bluewater DSB|253316|Hepworth Central PS|Elementary|Public|English|335
B66001|Bluewater DSB|152820|Highpoint Community E S|Elementary|Public|English|310
B66001|Bluewater DSB|257168|Hillcrest Central S|Elementary|Public|English|110
B66001|Bluewater DSB|257869|Hillcrest E S|Elementary|Public|English|605
B66001|Bluewater DSB|262935|Holland-Chatsworth Central S|Elementary|Public|English|280
B66001|Bluewater DSB|273775|Huron Heights PS|Elementary|Public|English|325
B66001|Bluewater DSB|007681|John Diefenbaker Senior S|Elementary|Public|English|145
B66001|Bluewater DSB|915556|John Diefenbaker Senior S|Secondary|Public|English|590
B66001|Bluewater DSB|291030|Keppel-Sarawak E S|Elementary|Public|English|330
B66001|Bluewater DSB|919454|Kincardine DSS|Secondary|Public|English|500
B66001|Bluewater DSB|293750|Kincardine Township-Tiverton PS|Elementary|Public|English|370
B66001|Bluewater DSB|323900|Lucknow Central PS|Elementary|Public|English|140
B66001|Bluewater DSB|198978|Macphail Memorial E S|Elementary|Public|English|535
B66001|Bluewater DSB|364290|Mildmay-Carrick Central S|Elementary|Public|English|165
B66001|Bluewater DSB|401129|Normanby Community S|Elementary|Public|English|190
B66001|Bluewater DSB|403741|Northport E S|Elementary|Public|English|460
B66001|Bluewater DSB|093939|Osprey Central S|Elementary|Public|English|380
B66001|Bluewater DSB|951692|Owen Sound District Secondary School SS|Secondary|Public|English|1205
B66001|Bluewater DSB|431028|Paisley Central S|Elementary|Public|English|135
B66001|Bluewater DSB|605743|Peninsula Shores District S|Elementary|Public|English|330
B66001|Bluewater DSB|953253|Peninsula Shores District S|Secondary|Public|English|175
B66001|Bluewater DSB|450910|Port Elgin-Saugeen Central S|Elementary|Public|English|710
B66001|Bluewater DSB|484970|Ripley-Huron Community - Junior Campus S|Elementary|Public|English|280
B66001|Bluewater DSB|940127|Saugeen DSS|Secondary|Public|English|610
B66001|Bluewater DSB|155683|Spruce Ridge Community S|Elementary|Public|English|390
B66001|Bluewater DSB|529826|St Edmunds PS|Elementary|Public|English|15
B66001|Bluewater DSB|531146|St Vincent-Euphrasia E S|Elementary|Public|English|360
B66001|Bluewater DSB|540200|Sullivan Community S|Elementary|Public|English|155
B66001|Bluewater DSB|569565|Walkerton District Community S|Elementary|Public|English|400
B66001|Bluewater DSB|950262|Walkerton District Community S|Secondary|Public|English|420
B67164|Brant Haldimand Norfolk CDSB|688088|Assumption College School HS|Secondary|Catholic|English|1545
B67164|Brant Haldimand Norfolk CDSB|690015|Blessed Sacrament S|Elementary|Catholic|English|210
B67164|Brant Haldimand Norfolk CDSB|696900|Christ the King S|Elementary|Catholic|English|175
B67164|Brant Haldimand Norfolk CDSB|714453|Holy Cross S|Elementary|Catholic|English|220
B67164|Brant Haldimand Norfolk CDSB|716960|Holy Family S|Elementary|Catholic|English|140
B67164|Brant Haldimand Norfolk CDSB|720232|Holy Trinity Catholic HS|Secondary|Catholic|English|995
B67164|Brant Haldimand Norfolk CDSB|750259|Jean Vanier C Elem S|Elementary|Catholic|English|355
B67164|Brant Haldimand Norfolk CDSB|736481|Notre Dame Catholic C Elem S|Elementary|Catholic|English|280
B67164|Brant Haldimand Norfolk CDSB|739200|Notre Dame S|Elementary|Catholic|English|310
B67164|Brant Haldimand Norfolk CDSB|743968|Our Lady of Fatima S|Elementary|Catholic|English|95
B67164|Brant Haldimand Norfolk CDSB|749125|Our Lady of Providence C Elem S|Elementary|Catholic|English|325
B67164|Brant Haldimand Norfolk CDSB|753084|Resurrection S|Elementary|Catholic|English|130
B67164|Brant Haldimand Norfolk CDSB|762756|Sacred Heart C Elem S|Elementary|Catholic|English|310
B67164|Brant Haldimand Norfolk CDSB|759309|Sacred Heart S|Elementary|Catholic|English|165
B67164|Brant Haldimand Norfolk CDSB|751898|St John's College|Secondary|Catholic|English|1080
B67164|Brant Haldimand Norfolk CDSB|704940|St. Basil C Elem S|Elementary|Catholic|English|485
B67164|Brant Haldimand Norfolk CDSB|779067|St. Bernard of Clairvaux S|Elementary|Catholic|English|220
B67164|Brant Haldimand Norfolk CDSB|782050|St. Cecilia's S|Elementary|Catholic|English|120
B67164|Brant Haldimand Norfolk CDSB|789984|St. Frances Cabrini S|Elementary|Catholic|English|300
B67164|Brant Haldimand Norfolk CDSB|793256|St. Gabriel Catholic C Elem S|Elementary|Catholic|English|410
B67164|Brant Haldimand Norfolk CDSB|810827|St. Joseph's S|Elementary|Catholic|English|530
B67164|Brant Haldimand Norfolk CDSB|818453|St. Leo S|Elementary|Catholic|English|325
B67164|Brant Haldimand Norfolk CDSB|831450|St. Mary's S|Elementary|Catholic|English|140
B67164|Brant Haldimand Norfolk CDSB|834831|St. Michael's S|Elementary|Catholic|English|105
B67164|Brant Haldimand Norfolk CDSB|834963|St. Michael's S|Elementary|Catholic|English|240
B67164|Brant Haldimand Norfolk CDSB|840530|St. Patrick S|Elementary|Catholic|English|130
B67164|Brant Haldimand Norfolk CDSB|840556|St. Patrick's S|Elementary|Catholic|English|180
B67164|Brant Haldimand Norfolk CDSB|844977|St. Peter S|Elementary|Catholic|English|170
B67164|Brant Haldimand Norfolk CDSB|846791|St. Pius X C Elem S|Elementary|Catholic|English|305
B67164|Brant Haldimand Norfolk CDSB|850950|St. Stephen's S|Elementary|Catholic|English|125
B67164|Brant Haldimand Norfolk CDSB|853038|St. Theresa S|Elementary|Catholic|English|170
B67008|Bruce-Grey CDSB|721255|Ecole Immaculee-Conception Sep S|Elementary|Catholic|English|280
B67008|Bruce-Grey CDSB|711985|Holy Family Sep S|Elementary|Catholic|English|305
B67008|Bruce-Grey CDSB|710296|Mary Immaculate Community S|Elementary|Catholic|English|125
B67008|Bruce-Grey CDSB|737399|Notre Dame Catholic S|Elementary|Catholic|English|565
B67008|Bruce-Grey CDSB|759430|Sacred Heart HS|Secondary|Catholic|English|695
B67008|Bruce-Grey CDSB|732133|Sacred Heart S|Elementary|Catholic|English|120
B67008|Bruce-Grey CDSB|864218|Sacred Heart Sep S|Elementary|Catholic|English|80
B67008|Bruce-Grey CDSB|774332|St Anthony's Sep S|Elementary|Catholic|English|460
B67008|Bruce-Grey CDSB|776602|St Basil's Sep S|Elementary|Catholic|English|405
B67008|Bruce-Grey CDSB|751464|St Joseph's S|Elementary|Catholic|English|205
B67008|Bruce-Grey CDSB|776599|St Mary's HS|Secondary|Catholic|English|950
B67008|Bruce-Grey CDSB|705098|St Peter's & St Paul's Sep S|Elementary|Catholic|English|135
B67008|Bruce-Grey CDSB|732800|St Teresa of Calcutta CS|Elementary|Catholic|English|270
B67172|CDSB of Eastern Ontario|689610|Bishop Macdonell Sep S|Elementary|Catholic|English|305
B67172|CDSB of Eastern Ontario|715131|Holy Cross S|Elementary|Catholic|English|540
B67172|CDSB of Eastern Ontario|828203|Holy Name of Mary Sep S|Elementary|Catholic|English|380
B67172|CDSB of Eastern Ontario|821553|Holy Trinity C Elem S|Elementary|Catholic|English|150
B67172|CDSB of Eastern Ontario|715190|Holy Trinity Catholic SS|Secondary|Catholic|English|520
B67172|CDSB of Eastern Ontario|696269|Iona Academy|Elementary|Catholic|English|170
B67172|CDSB of Eastern Ontario|691127|J L Jordan Sep S|Elementary|Catholic|English|125
B67172|CDSB of Eastern Ontario|753670|Mother Teresa Catholic S|Elementary|Catholic|English|425
B67172|CDSB of Eastern Ontario|736457|Notre Dame Catholic HS|Secondary|Catholic|English|500
B67172|CDSB of Eastern Ontario|697630|Notre Dame Catholic Sep S|Elementary|Catholic|English|165
B67172|CDSB of Eastern Ontario|741361|Our Lady of Good Counsel Sep S|Elementary|Catholic|English|225
B67172|CDSB of Eastern Ontario|750646|Pope John Paul II Regional E S|Elementary|Catholic|English|190
B67172|CDSB of Eastern Ontario|759040|Sacred Heart S|Elementary|Catholic|English|375
B67172|CDSB of Eastern Ontario|758787|Sacred Heart of Jesus Sep S|Elementary|Catholic|English|80
B67172|CDSB of Eastern Ontario|769312|St Andrew's Sep S|Elementary|Catholic|English|205
B67172|CDSB of Eastern Ontario|771651|St Anne's S|Elementary|Catholic|English|260
B67172|CDSB of Eastern Ontario|788686|St Edward's S|Elementary|Catholic|English|75
B67172|CDSB of Eastern Ontario|806102|St Finnan's Catholic S|Elementary|Catholic|English|125
B67172|CDSB of Eastern Ontario|751502|St Francis Xavier Catholic HS|Secondary|Catholic|English|270
B67172|CDSB of Eastern Ontario|792365|St Francis Xavier E S|Elementary|Catholic|English|120
B67172|CDSB of Eastern Ontario|792322|St Francis Xavier Sep S|Elementary|Catholic|English|110
B67172|CDSB of Eastern Ontario|791938|St Francis de Sales Sep S|Elementary|Catholic|English|435
B67172|CDSB of Eastern Ontario|803022|St John Bosco Catholic S|Elementary|Catholic|English|305
B67172|CDSB of Eastern Ontario|804800|St John Catholic HS|Secondary|Catholic|English|385
B67172|CDSB of Eastern Ontario|802700|St John E S|Elementary|Catholic|English|350
B67172|CDSB of Eastern Ontario|806277|St Joseph's SS|Secondary|Catholic|English|695
B67172|CDSB of Eastern Ontario|725374|St Joseph's Sep S|Elementary|Catholic|English|185
B67172|CDSB of Eastern Ontario|813907|St Joseph's Sep S|Elementary|Catholic|English|335
B67172|CDSB of Eastern Ontario|736201|St Jude's Catholic Elementary S|Elementary|Catholic|English|265
B67172|CDSB of Eastern Ontario|824593|St Mary's HS|Secondary|Catholic|English|425
B67172|CDSB of Eastern Ontario|828726|St Mary's Sep S|Elementary|Catholic|English|150
B67172|CDSB of Eastern Ontario|828874|St Mary's Sep S|Elementary|Catholic|English|260
B67172|CDSB of Eastern Ontario|828980|St Mary's Sep S|Elementary|Catholic|English|185
B67172|CDSB of Eastern Ontario|830283|St Mary-St Cecilia Catholic S|Elementary|Catholic|English|240
B67172|CDSB of Eastern Ontario|726176|St Matthew Catholic Secondary School|Secondary|Catholic|English|115
B67172|CDSB of Eastern Ontario|832502|St Michael E S|Elementary|Catholic|English|205
B67172|CDSB of Eastern Ontario|832480|St Michael HS|Secondary|Catholic|English|445
B67172|CDSB of Eastern Ontario|753602|St Patrick Catholic E S|Elementary|Catholic|English|295
B67172|CDSB of Eastern Ontario|844713|St Peter's S|Elementary|Catholic|English|200
B67172|CDSB of Eastern Ontario|773450|St. Gregory Catholic S|Elementary|Catholic|English|425
B67172|CDSB of Eastern Ontario|745698|St. James Catholic Education Centre HS|Secondary|Catholic|English|<10
B67172|CDSB of Eastern Ontario|741782|St. James Intermediate|Elementary|Catholic|English|<10
B67172|CDSB of Eastern Ontario|680764|St. John Intermediate School|Elementary|Catholic|English|110
B67172|CDSB of Eastern Ontario|767431|St. Joseph Intermediate CS|Elementary|Catholic|English|225
B67172|CDSB of Eastern Ontario|803065|St. Luke Catholic HS|Secondary|Catholic|English|105
B67172|CDSB of Eastern Ontario|818968|St. Luke Catholic S|Elementary|Catholic|English|35
B67172|CDSB of Eastern Ontario|814555|St. Mark Catholic S|Elementary|Catholic|English|395
B67172|CDSB of Eastern Ontario|765428|St. Matthew Catholic Elementary School|Elementary|Catholic|English|30
B67172|CDSB of Eastern Ontario|733067|St. Thomas Aquinas Catholic HS|Secondary|Catholic|English|440
B67172|CDSB of Eastern Ontario|773026|St. Thomas Aquinas Catholic S|Elementary|Catholic|English|240
B66303|CS Viamonde|199761|Académie La Pinède|Elementary|Public|French|120
B66303|CS Viamonde|165468|Académie de la Moraine|Elementary|Public|French|190
B66303|CS Viamonde|165409|Académie de la Tamise|Elementary|Public|French|290
B66303|CS Viamonde|918997|Collège français secondaire|Secondary|Public|French|165
B66303|CS Viamonde|117382|Collège français élémentaire|Elementary|Public|French|115
B66303|CS Viamonde|023549|É Élém Académie Alexandre-Dumas|Elementary|Public|French|205
B66303|CS Viamonde|156167|É Élém Antonine Maillet|Elementary|Public|French|185
B66303|CS Viamonde|165441|É Élém Carrefour des Jeunes|Elementary|Public|French|405
B66303|CS Viamonde|447621|É Élém Charles-Sauriol|Elementary|Public|French|390
B66303|CS Viamonde|532816|É Élém Franco-Jeunesse|Elementary|Public|French|35
B66303|CS Viamonde|004367|É Élém Franco-Niagara|Elementary|Public|French|85
B66303|CS Viamonde|194069|É Élém Félix-Leclerc|Elementary|Public|French|195
B66303|CS Viamonde|165212|É Élém Gabriel-Dumont|Elementary|Public|French|175
B66303|CS Viamonde|497134|É Élém Gabrielle-Roy|Elementary|Public|French|310
B66303|CS Viamonde|572312|É Élém Gaetan-Gervais|Elementary|Public|French|75
B66303|CS Viamonde|156264|É Élém Georges-P-Vanier|Elementary|Public|French|70
B66303|CS Viamonde|165417|É Élém Horizon Jeunesse|Elementary|Public|French|185
B66303|CS Viamonde|282260|É Élém Jeanne-Lajoie|Elementary|Public|French|420
B66303|CS Viamonde|156183|É Élém Jeunes sans frontières|Elementary|Public|French|230
B66303|CS Viamonde|165395|É Élém L'Envolée|Elementary|Public|French|220
B66303|CS Viamonde|156256|É Élém L'Harmonie|Elementary|Public|French|400
B66303|CS Viamonde|419354|É Élém L'Héritage|Elementary|Public|French|160
B66303|CS Viamonde|165450|É Élém L'Odyssée|Elementary|Public|French|145
B66303|CS Viamonde|302481|É Élém La Fontaine|Elementary|Public|French|140
B66303|CS Viamonde|019735|É Élém La Mosaïque|Elementary|Public|French|495
B66303|CS Viamonde|191313|É Élém La Pommeraie|Elementary|Public|French|270
B66303|CS Viamonde|032247|É Élém La Source|Elementary|Public|French|330
B66303|CS Viamonde|165000|É Élém LaMarsh|Elementary|Public|French|180
B66303|CS Viamonde|309192|É Élém Laure-Rièse|Elementary|Public|French|280
B66303|CS Viamonde|442869|É Élém Le Caron|Elementary|Public|French|55
B66303|CS Viamonde|539105|É Élém Le Flambeau|Elementary|Public|French|310
B66303|CS Viamonde|311090|É Élém Les Rapides|Elementary|Public|French|155
B66303|CS Viamonde|480785|É Élém Louise-Charron|Elementary|Public|French|105
B66303|CS Viamonde|010340|É Élém Marie-Curie|Elementary|Public|French|270
B66303|CS Viamonde|328910|É Élém Mathieu-da-Costa|Elementary|Public|French|180
B66303|CS Viamonde|157909|É Élém Micheline-Saint-Cyr|Elementary|Public|French|110
B66303|CS Viamonde|232544|É Élém Norval-Morrisseau|Elementary|Public|French|55
B66303|CS Viamonde|164941|É Élém Nouvel Horizon|Elementary|Public|French|150
B66303|CS Viamonde|619655|É Élém Patricia-Picknell|Elementary|Public|French|235
B66303|CS Viamonde|042108|É Élém Paul-Demers|Elementary|Public|French|110
B66303|CS Viamonde|165484|É Élém Pavillon de la jeunesse|Elementary|Public|French|280
B66303|CS Viamonde|165476|É Élém Pierre-Elliott-Trudeau|Elementary|Public|French|400
B66303|CS Viamonde|165425|É Élém Renaissance|Elementary|Public|French|230
B66303|CS Viamonde|412543|É Élém Roméo Dallaire|Elementary|Public|French|95
B66303|CS Viamonde|298133|É Élém Ronald-Marion|Elementary|Public|French|320
B66303|CS Viamonde|530476|É Élém Saint-Joseph|Elementary|Public|French|215
B66303|CS Viamonde|588462|É Élém Toronto Ouest|Elementary|Public|French|160
B66303|CS Viamonde|037753|É Élém Viola-Léger|Elementary|Public|French|40
B66303|CS Viamonde|298572|É Élém de Lamothe-Cadillac|Elementary|Public|French|60
B66303|CS Viamonde|629646|É Élém des Quatre-Rivières|Elementary|Public|French|180
B66303|CS Viamonde|426502|É Élém du Chêne|Elementary|Public|French|170
